item,itemLabel,startDate,endDate,psid
Q1359023,Raul Khadjimba,2003-04-22,2004-10-06,Q1359023-1346BC33-F50C-4DBD-8B5C-50B61A895197
Q19667703,Artur Mikvabia,2015-03-20,2016-07-26,Q19667703-98DE04BF-AA3B-499A-ADA5-E7CCF4BA7FCD
Q26211009,Beslan Bartsits,2016-08-05,2018-04-25,Q26211009-0e3015ef-40d3-755f-413f-fbb7978dd934
Q27829055,Daur Arshba,2018-09-08,2018-09-18,Q27829055-03C506F9-3769-442B-9A9F-5A08A7DC078E
Q2996248,Leonid Lakerbaia,2011-09-27,2014-06-02,Q2996248-28C17688-154C-4075-B29D-46B9990C7843
Q313355,Alexander Ankvab,2020-04-23,,Q313355-9524C2EC-3CE7-4F53-8E64-C3FAE7BBB31E
Q313355,Alexander Ankvab,2005-02-14,2010-02-13,Q313355-f1b85645-4781-3728-7cf7-4370cdff73c6
Q3596044,Viacheslav Tsugba,1999-12-20,2001-05-30,Q3596044-1F5CFCE0-6E00-49B9-A1B5-0C178792859F
Q4057556,Shamil Adzynba,2015-03-17,2015-03-20,Q4057556-65FA7485-9701-4C58-9976-D9B32E30F28A
Q4057556,Shamil Adzynba,2016-07-26,2016-08-05,Q4057556-FD23CFBA-F8C1-4828-84EA-3BC6B8138883
Q4080376,Valeri Bganba,2018-09-18,2020-04-23,Q4080376-e12c1e13-4810-2476-d4c7-15cc2e7fdbc3
Q4157034,Vladimir Delba,2014-06-02,2014-09-29,Q4157034-2E02999E-E7BE-473C-AA9C-D06C7592073A
Q4160199,Anri Jergenia,2001-06-07,2002-11-29,Q4160199-B77FF3ED-9ADE-48C4-8B93-3D4A76107EDF
Q4496777,Nodar Khashba,2004-10-06,2005-02-14,Q4496777-FBF260C5-262C-4C99-940B-9A668B957616
Q467261,Gennady Gagulia,2018-04-25,2018-09-08,Q467261-1375453B-5B4A-4328-A512-42606A55D088
Q467261,Gennady Gagulia,1995-01,1997-04-29,Q467261-5E1BEAF2-C87E-436C-A803-696416089DB8
Q467261,Gennady Gagulia,2002-11-29,2003-04-08,Q467261-D4A82025-7D73-4BE7-A3C5-653B121D7DDC
Q485032,Sergei Bagapsh,1997-04-29,1999-12-20,Q485032-DD81FC4A-68FB-4B63-97E9-9707DDF231F3
Q737435,Sergei Shamba,2010-02-13,2011-09-27,Q737435-E1B90A05-EFFF-4070-B799-CA5F1C9A43B5
Q829940,Beslan Butba,2014-09-29,2015-03-17,Q829940-59310E78-0310-4642-BBD1-A2DEB4C11EC5
